1	 1	 S	 _
1248	 150	 c	 _
1249	 151	 y	 _
1250	 152	 A	 _
1251	 153	 s	 _
1252	 154	 s	 _
1253	 155	 e	 _
1254	 156	 s	 _
1255	 157	 s	 _
1256	 158	 m	 _
1257	 159	 e	 _
1258	 160	 n	 _
1259	 161	 t	 _
1260	 162	 (	 _
1261	 163	 O	 _
1262	 164	 R	 _
1263	 165	 S	 _
1264	 166	 A	 _
1265	 167	 )	 _
1266	 168	 a	 _
1267	 169	 p	 _
1268	 170	 p	 _
1269	 171	 r	 _
1270	 172	 o	 _
1271	 173	 a	 _
1272	 174	 c	 _
1273	 175	 h	 _
1274	 176	 u	 _
1275	 177	 s	 _
1276	 178	 i	 _
1277	 179	 n	 _
1278	 180	 g	 _
1279	 181	 t	 _
1280	 182	 h	 _
1281	 183	 e	 _
1282	 184	 F	 _
1283	 185	 -	 _
1284	 186	 t	 _
1285	 187	 e	 _
1286	 188	 s	 _
1287	 189	 t	 _
1288	 190	 a	 _
1289	 191	 n	 _
1290	 192	 d	 _
1291	 193	 c	 _
1292	 194	 o	 _
1293	 195	 s	 _
1294	 196	 t	 _
1295	 197	 i	 _
1296	 198	 n	 _
1297	 199	 g	 _
1298	 200	 $	 _
1299	 201	 3	 _
1300	 202	 .	 _
1301	 203	 1	 _
1302	 204	 b	 _
1303	 205	 i	 _
1304	 206	 l	 _
1305	 207	 l	 _
1306	 208	 i	 _
1307	 209	 o	 _
1308	 210	 n	 _
1309	 211	 .	 _
1310	 1	 I	 _
1311	 2	 n	 _
1312	 3	 t	 _
1313	 4	 h	 _
1314	 5	 i	 _
1315	 6	 s	 _
1316	 7	 c	 _
1317	 8	 o	 _
1318	 9	 n	 _
1319	 10	 t	 _
1320	 11	 e	 _
1321	 12	 x	 _
1322	 13	 t	 _
1323	 14	 ,	 _
1324	 15	 i	 _
1325	 16	 .	 _
1326	 17	 e	 _
1327	 18	 .	 _
1328	 19	 S	 _
1329	 20	 C	 _
1330	 21	 R	 _
1331	 22	 c	 _
1332	 23	 a	 _
1333	 24	 l	 _
1334	 25	 c	 _
1335	 26	 u	 _
1336	 27	 l	 _
1337	 28	 a	 _
1338	 29	 t	 _
1339	 30	 i	 _
1340	 31	 o	 _
1341	 32	 n	 _
1342	 33	 s	 _
1343	 34	 ,	 _
1344	 35	 a	 _
1345	 36	 m	 _
1346	 37	 u	 _
1347	 38	 l	 _
1348	 39	 t	 _
1349	 40	 i	 _
1350	 41	 -	 _
1351	 42	 v	 _
1352	 43	 a	 _
1353	 44	 r	 _
1354	 45	 i	 _
1355	 46	 a	 _
1356	 47	 t	 _
1357	 48	 e	 _
1358	 49	 a	 _
1359	 50	 n	 _
1360	 51	 a	 _
1361	 52	 l	 _
1362	 53	 y	 _
1363	 54	 s	 _
1364	 55	 i	 _
1365	 56	 s	 _
1366	 57	 w	 _
1367	 58	 a	 _
1368	 59	 s	 _
1369	 60	 d	 _
1370	 61	 e	 _
1371	 62	 f	 _
1372	 63	 i	 _
1373	 64	 n	 _
1374	 65	 e	 _
1375	 66	 d	 _
1376	 67	 b	 _
1377	 68	 y	 _
1378	 156	 a	 _
1379	 16	 a	 _
1380	 38	 r	 _
1381	 40	 a	 _
1382	 43	 c	 _
1383	 46	 t	 _
1384	 52	 i	 _
1385	 54	 e	 _
1386	 58	 o	 _
1387	 69	 c	 _
1388	 127	 a	 _
1389	 7	 l	 _
