Between	 Other
part-time	 JJ
work	 NN
.	 Other
In	 Other
February	 NN
,	 Other
organizers	 NN
of	 Other
the	 Other
National	 NN
Adjunct	 NN
Day	 NN
of	 Other
Action	 NN
adopted	 VB
``	 Other
Saint	 NN
Precaria	 NN
''	 Other
as	 Other
their	 PR
``	 Other
icon	 JJ
saint	 NN
''	 Other
and	 Other
individuals	 NN
at	 Other
UC	 NN
Santa	 NN
Cruz	 NN
continue	 VB
to	 Other
develop	 VB
themes	 NN
surrounding	 VB
precarity	 NN
.	 Other
``	 Other
All	 Other
these	 Other
movements	 NN
that	 Other
we	 PR
are	 VB
building	 VB
together	 RB
are	 VB
really	 RB
interconnected	 VB
,	 Other
all	 Other
the	 Other
student	 NN
movements	 NN
and	 Other
the	 Other
union	 NN
movements	 NN
that	 Other
we	 PR
have	 VB
been	 VB
working	 VB
on	 Other
for	 Other
many	 JJ
years	 NN
together	 RB
,	 Other
''	 Other
explained	 VB
Josh	 NN
Brahinsky	 NN
at	 Other
a	 Other
mid-day	 JJ
rally	 NN
held	 VB
at	 Other
the	 Other
picnic	 NN
.	 Other
Brahinsky	 NN
teaches	 VB
courses	 NN
at	 Other
both	 Other
UC	 NN
Santa	 NN
Cruz	 NN
and	 Other
San	 NN
Jose	 NN
State	 NN
University	 NN
.	 Other
``	 Other
We	 PR
're	 VB
all	 Other
facing	 VB
a	 Other
certain	 JJ
kind	 NN
of	 Other
neo-liberal	 JJ
budget	 NN
where	 Other
they	 PR
play	 VB
with	 Other
it	 PR
,	 Other
and	 Other
mess	 NN
with	 Other
the	 Other
money	 NN
,	 Other
''	 Other
he	 PR
said	 VB
.	 Other
``	 Other
They	 PR
do	 VB
n't	 RB
spend	 VB
the	 Other
money	 NN
on	 Other
undergraduate	 JJ
education	 NN
,	 Other
which	 Other
is	 VB
what	 Other
we	 PR
are	 VB
all	 Other
here	 RB
to	 Other
make	 VB
happen	 NN
.	 Other
''	 Other
Brahinsky	 NN
said	 VB
that	 Other
the	 Other
University	 NN
of	 Other
California	 NN
has	 VB
,	 Other
``	 Other
made	 VB
a	 Other
priority	 NN
out	 Other
of	 Other
administrative	 JJ
spending	 NN
,	 Other
''	 Other
noting	 VB
that	 Other
it	 PR
has	 VB
increased	 VB
by	 Other
over	 Other
250	 Other
%	 NN
in	 Other
the	 Other
last	 JJ
20	 Other
years	 NN
.	 Other
The	 Other
growth	 NN
of	 Other
faculty	 NN
spending	 NN
over	 Other
the	 Other
same	 JJ
time	 NN
period	 NN
has	 VB
only	 RB
increased	 VB
by	 Other
50	 Other
%	 NN
,	 Other
he	 PR
said	 VB
,	 Other
adding	 VB
that	 Other
20	 Other
years	 NN
ago	 RB
there	 Other
were	 VB
five	 Other
faculty	 NN
members	 NN
for	 Other
every	 Other
two	 Other
administrators	 NN
,	 Other
but	 Other
the	 Other
figure	 NN
has	 VB
shifted	 VB
dramatically	 RB
,	 Other
and	 Other
presently	 RB
there	 Other
are	 VB
only	 RB
five	 Other
faculty	 NN
members	 NN
for	 Other
every	 Other
six	 Other
administrators	 NN
,	 Other
on	 Other
average	 NN
.	 Other
Conventional	 JJ
silicon	 NN
based	 VB
computing	 NN
has	 VB
been	 VB
successful	 JJ
over	 Other
the	 Other
past	 JJ
several	 JJ
decades	 NN
.	 Other
It	 PR
is	 VB
fast	 RB
,	 Other
flexible	 JJ
,	 Other
and	 Other
well	 RB
understood	 NN
.	 Other
But	 Other
it	 PR
has	 VB
reached	 VB
its	 PR
limitations	 NN
of	 Other
design	 NN
complexity	 NN
,	 Other
processing	 VB
power	 NN
,	 Other
memory	 NN
,	 Other
energy	 NN
consumption	 NN
,	 Other
density	 NN
and	 Other
heat	 NN
dissipation	 NN
.	 Other
Alternatives	 NN
to	 Other
these	 Other
traditional	 JJ
methods	 NN
of	 Other
building	 VB
computers	 NN
have	 VB
been	 VB
proposed	 VB
and	 Other
in	 Other
recent	 JJ
past	 JJ
molecular	 NN
computing	 NN
has	 VB
gained	 VB
considerable	 JJ
attention	 NN
for	 Other
non-silicon	 JJ
based	 VB
computing	 VB
which	 Other
can	 Other
overcome	 VB
conventional	 JJ
computation	 NN
problems	 NN
.	 Other
The	 Other
Watson-Crick	 JJ
base	 NN
pairing	 NN
makes	 VB
DNA	 Other
a	 Other
powerful	 JJ
tool	 NN
for	 Other
engineering	 NN
at	 Other
nano-scale	 JJ
[	 NN
Adleman	 NN
,	 Other
1994	 Other
;	 Other
Benenson	 NN
et	 Other
al.	 NN
,	 Other
2001	 Other
;	 Other
Green	 NN
et	 Other
al.	 NN
,	 Other
2006	 Other
;	 Other
Winfree	 NN
et	 Other
al.	 NN
,	 Other
1998	 Other
]	 NN
.	 Other
The	 Other
behaviour	 NN
of	 Other
DNA	 NN
molecules	 NN
can	 Other
be	 VB
predicted	 VB
,	 Other
and	 Other
by	 Other
setting	 VB
up	 Other
strands	 NN
of	 Other
DNA	 NN
in	 Other
the	 Other
right	 JJ
way	 NN
,	 Other
they	 PR
can	 Other
draw	 VB
conclusion	 NN
from	 Other
a	 Other
set	 NN
of	 Other
logical	 JJ
inference	 NN
rules	 NN
[	 VB
Ray	 NN
and	 Other
Mondal	 NN
,	 Other
2011a	 Other
;	 Other
Ray	 NN
and	 Other
Mondal	 NN
,	 Other
2011b	 Other
]	 NN
.	 Other
In	 Other
this	 Other
paper	 NN
we	 PR
have	 VB
performed	 VB
logical	 JJ
reasoning	 NN
by	 Other
modus	 NN
ponens	 NN
using	 VB
DNA	 NN
strand	 NN
algebra	 NN
,	 Other
which	 Other
can	 Other
be	 VB
defined	 VB
as	 Other
a	 Other
branch	 NN
of	 Other
process	 NN
algebra	 NN
.	 Other
The	 Other
operations	 NN
of	 Other
DNA	 NN
strands	 NN
in	 Other
present	 JJ
model	 NN
are	 VB
based	 VB
on	 Other
the	 Other
mechanism	 NN
of	 Other
DNA	 NN
strand	 NN
displacement	 NN
.	 Other
Process	 NN
algebras	 NN
are	 VB
widely	 RB
used	 VB
for	 Other
defining	 VB
the	 Other
formal	 JJ
semantics	 NN
of	 Other
concurrent	 NN
communicating	 NN
processes	 NN
.	 Other
Process	 NN
calculi	 VB
provide	 VB
a	 Other
tool	 NN
for	 Other
the	 Other
high-level	 JJ
description	 NN
of	 Other
interactions	 NN
,	 Other
communications	 NN
,	 Other
and	 Other
synchronizations	 NN
between	 Other
a	 Other
collection	 NN
of	 Other
independent	 JJ
agents	 NN
or	 Other
processes	 NN
.	 Other
They	 PR
also	 RB
provide	 VB
algebraic	 JJ
laws	 NN
that	 Other
allow	 VB
process	 NN
descriptions	 NN
to	 Other
be	 VB
manipulated	 VB
and	 Other
analyzed	 VB
,	 Other
and	 Other
permit	 NN
formal	 JJ
reasoning	 VB
about	 Other
equivalences	 NN
between	 Other
processes	 NN
.	 Other
The	 Other
main	 JJ
components	 NN
of	 Other
DNA	 NN
strand	 NN
algebra	 NN
are	 VB
DNA	 NN
strands	 NN
,	 Other
DNA	 NN
gates	 VB
,	 Other
and	 Other
their	 PR
interactions	 NN
.	 Other
Before	 Other
going	 VB
in	 Other
detail	 JJ
description	 NN
of	 Other
DNA	 NN
strand	 NN
algebra	 NN
we	 PR
first	 RB
have	 VB
to	 Other
know	 VB
what	 Other
is	 VB
syntax	 JJ
and	 Other
semantics	 NN
.	 Other
How	 Other
are	 VB
they	 PR
different	 JJ
?	 Other
[	 NN
Cardelli	 NN
,	 Other
2009	 Other
;	 Other
Cardelli	 NN
2013	 Other
]	 VB
A	 Other
language	 NN
is	 VB
a	 Other
set	 NN
of	 Other
valid	 JJ
sentences	 NN
.	 Other
The	 Other
validity	 NN
of	 Other
language	 NN
can	 Other
be	 VB
broken	 VB
down	 Other
into	 Other
two	 Other
things	 NN
:	 Other
syntax	 NN
and	 Other
semantics	 NN
.	 Other
The	 Other
term	 NN
syntax	 NN
refers	 NN
to	 Other
grammatical	 JJ
structure	 NN
of	 Other
a	 Other
language	 NN
,	 Other
rather	 RB
than	 Other
what	 Other
they	 PR
refer	 VB
to	 Other
or	 Other
mean	 VB
.	 Other
Whereas	 Other
the	 Other
term	 NN
semantics	 NN
is	 VB
concerned	 VB
to	 Other
the	 Other
meaning	 NN
of	 Other
the	 Other
vocabulary	 JJ
symbols	 NN
arranged	 VB
with	 Other
that	 Other
structure	 NN
,	 Other
often	 RB
in	 Other
relation	 NN
to	 Other
their	 PR
truth	 NN
and	 Other
falsehood	 NN
.	 Other
Grammatical	 NN
(	 Other
syntactically	 RB
)	 Other
valid	 NN
does	 VB
not	 RB
imply	 VB
sensible	 JJ
(	 Other
semantically	 RB
)	 Other
valid	 NN
.	 Other
In	 Other
mathematics	 NN
,	 Other
computer	 NN
science	 NN
and	 Other
linguistics	 NN
,	 Other
a	 Other
formal	 JJ
language	 NN
is	 VB
a	 Other
set	 NN
of	 Other
strings	 NN
of	 Other
symbols	 NN
that	 Other
may	 Other
be	 VB
constrained	 VB
by	 Other
rules	 NN
that	 Other
are	 VB
specific	 JJ
to	 Other
it	 PR
.	 Other
In	 Other
computer	 NN
science	 NN
,	 Other
the	 Other
process	 NN
algebras	 Other
[	 NN
Baeten	 NN
,	 Other
2004	 Other
]	 NN
are	 VB
mathematically	 RB
rigorous	 JJ
languages	 NN
with	 Other
well	 RB
defined	 VB
semantics	 NN
that	 Other
permit	 NN
describing	 NN
and	 Other
verifying	 VB
properties	 NN
of	 Other
concurrent	 NN
communicating	 VB
systems	 NN
.	 Other
Process	 NN
calculi	 VB
provide	 VB
a	 Other
tool	 NN
for	 Other
the	 Other
high-level	 JJ
description	 NN
of	 Other
interactions	 NN
,	 Other
communications	 NN
,	 Other
and	 Other
synchronizations	 NN
between	 Other
a	 Other
collection	 NN
of	 Other
independent	 JJ
agents	 NN
or	 Other
processes	 NN
.	 Other
They	 PR
also	 RB
provide	 VB
algebraic	 JJ
laws	 NN
that	 Other
allow	 VB
process	 NN
descriptions	 NN
to	 Other
be	 VB
manipulated	 VB
and	 Other
analyzed	 VB
,	 Other
and	 Other
permit	 NN
formal	 JJ
reasoning	 VB
about	 Other
equivalences	 NN
between	 Other
processes	 NN
.	 Other
ERHS	 NN
Pre	 NN
and	 Other
post	 JJ
picture	 NN
of	 Other
UAA	 NN
preview	 NN
days	 NN
.	 Other
Thank	 NN
you	 PR
UAA	 VB
for	 Other
a	 Other
great	 JJ
day	 NN
.	 Other
#UAAmazing	 VB
ERHS	 JJ
students	 NN
attend	 VB
UAA	 NN
preview	 NN
days	 NN
-	 Other
let	 VB
the	 Other
fun	 NN
begin	 NN
!	 Other
#UAAmazing	 VB
Selfies	 NN
with	 Other
spirit	 NN
at	 Other
UAA	 NN
:	 Other
University	 NN
of	 Other
Alaska	 NN
Anchorage	 NN
Spring	 NN
Preview	 NN
Day	 NN
!	 Other
#uaamazing	 JJ
http	 NN
:	 Other
//fb.me/5yAxSmtkn	 JJ
#uaamazing	 VB
cuddy	 NN
center	 NN
bakery	 NN
cart	 NN
on	 Other
T/Th	 NN
.	 Other
these	 Other
prices	 NN
.	 Other
Made	 VB
fresh	 JJ
every	 Other
morning	 NN
.	 Other
UAA	 NN
Student	 NN
Union	 NN
Gallery\u2019s	 NN
Claybody	 NN
Invitational	 NN
opens	 VB
today	 NN
featuring	 VB
#UAAmazing	 VB
ceramics	 NN
from	 Other
2015	 Other
's	 Other
school	 NN
year	 NN
http	 NN
:	 Other
//ow.ly/XEf83	 NN
.	 Other
he	 PR
only	 RB
reason	 NN
I	 PR
'm	 VB
going	 VB
to	 Other
UAA	 NN
.	 Other
Thank	 NN
you	 PR
scholarships	 VB
#uaamazing	 JJ
Let	 VB
me	 PR
hurry	 VB
up	 Other
&	 Other
finish	 VB
this	 Other
HW..tonight	 NN
@	 NN
BreeNewsome	 NN
will	 Other
be	 VB
doing	 VB
a	 Other
public	 JJ
lecture	 NN
in	 Other
Art	 NN
150	 Other
at	 Other
7pm	 Other
.	 Other
#UAAmazing	 VB
#UAA	 NN
@	 NN
BreeNewsome	 NN
@	 NN
uaanchorage	 NN
MLK	 NN
Student	 NN
Appreciation	 NN
Brunch	 NN
.	 Other
#UAAmazing	 VB
#BlackLivesMatter	 NN
https	 NN
:	 Other
//www.instagram.com/p/BBLgb8wM5oX/	 NN
Just	 NN
had	 VB
the	 Other
pleasure	 NN
of	 Other
meeting	 VB
@	 JJ
BreeNewsome	 NN
@	 NN
uaanchorage	 NN
MLK	 NN
Student	 NN
Appreciation	 NN
Brunch	 NN
.	 Other
#UAAmazing	 VB
Paying	 VB
less	 JJ
than	 Other
100	 Other
for	 Other
a	 Other
semester	 NN
of	 Other
college	 NN
.	 Other
:	 Other
)	 Other
#uaamazing	 JJ
UAA	 NN
is	 VB
having	 VB
a	 Other
Star	 NN
Wars	 NN
night	 NN
at	 Other
the	 Other
Commons	 NN
.	 Other
But	 Other
guys	 NN
.	 Other
The	 Other
gravy	 NN
...	 Other
#UAAmazing	 VB
when	 Other
u	 NN
have	 VB
to	 Other
pay	 VB
34.12	 Other
for	 Other
a	 Other
semester	 NN
of	 Other
college	 NN
.	 Other
:	 Other
'	 Other
)	 Other
#blessup	 JJ
#UAAmazing	 VB
UAA	 NN
:	 Other
fucking	 NN
me	 PR
over	 Other
since	 Other
day	 NN
1	 Other
#UAAMAZING	 NN
knew	 VB
I	 PR
should	 Other
've	 VB
stayed	 VB
in	 Other
Maryland	 NN
.	 Other
#CSM	 NN
would	 Other
n't	 RB
have	 VB
done	 VB
me	 PR
like	 Other
this	 Other
.	 Other
@	 JJ
WillowLeedy	 NN
@	 NN
camelovidov	 NN
@	 NN
Ch2KTUU	 NN
#UAAmazing	 NN
@	 NN
emilyjanaewood	 NN
update	 NN
:	 Other
I	 PR
paid	 VB
6	 Other
for	 Other
a	 Other
2/3	 Other
full	 JJ
cup	 NN
of	 Other
soy	 JJ
milk	 NN
.	 Other
#UAAmazing	 VB
UAA	 NN
,	 Other
where	 Other
you	 PR
have	 VB
to	 Other
drive	 VB
around	 Other
the	 Other
lot	 NN
for	 Other
twenty	 NN
minutes	 NN
just	 RB
to	 Other
find	 VB
a	 Other
goddamn	 NN
parking	 VB
spot	 NN
.	 Other
#uaamazing	 VB
No	 Other
damage	 NN
has	 VB
been	 VB
reported	 VB
to	 Other
the	 Other
@	 JJ
UAAParking	 NN
structures-	 NN
if	 Other
you	 PR
notice	 VB
a	 Other
problem	 NN
,	 Other
report	 NN
it	 PR
right	 RB
away	 RB
,	 Other
#UAAmazing	 NN
.	 Other
I	 PR
feel	 VB
like	 Other
everyday	 NN
is	 VB
pick	 VB
on	 Other
the	 Other
freshman	 JJ
day	 NN
here	 RB
.	 Other
#UAAmazing	 VB
Make	 NN
lots	 NN
of	 Other
money	 NN
.	 Other
#BeAnEngineer	 NN
#UAAmazing	 VB
I	 PR
swear	 VB
this	 Other
nigga	 NN
behind	 Other
me	 PR
getting	 VB
topped	 VB
off	 Other
in	 Other
class	 NN
.	 Other
#UAAmazing	 VB
UAA	 NN
Snaps	 NN
confirms	 NN
my	 PR
belief	 NN
that	 Other
there	 Other
is	 VB
no	 Other
hope	 NN
in	 Other
the	 Other
future	 NN
for	 Other
most	 JJ
of	 Other
my	 PR
peers	 NN
.	 Other
#VapeLyfe	 NN
#BACgoingup	 NN
#GPAgoingdown	 NN
#UAAmazing	 NN
@	 NN
AKEPSCoR	 NN
@	 NN
UAFGI	 NN
dude	 NN
's	 Other
a	 Other
beast	 NN
!	 Other
#uaamazing	 JJ
#Alaska	 NN
#mountains	 NN
#sunrise	 RB
#uaamazing	 VB
@	 JJ
uaaphotos	 NN
(	 Other
at	 Other
UAA	 NN
Administration	 NN
Building	 NN
)	 Other
.	 Other
It	 PR
's	 VB
so	 RB
frustrating	 JJ
to	 Other
not	 RB
be	 VB
able	 JJ
to	 Other
get	 VB
parking	 NN
because	 Other
everyone	 NN
parks	 NN
like	 Other
they	 PR
've	 VB
never	 RB
driven	 VB
a	 Other
car	 NN
before	 Other
.	 Other
#UAAmazing	 VB
@	 NN
crazy808lexi	 NN
#UAAmazing	 NN
#uaamazing	 VB
love	 Other
these	 Other
high	 JJ
quality	 NN
machines	 NN
.	 Other
Special	 JJ
Announcement	 NN
:	 Other
New	 NN
Hours	 NN
of	 Other
Operation-	 NN
#UAASHCC	 NN
#UAAmazing	 NN
.	 Other
Make	 VB
a	 Other
plan	 NN
to	 Other
see	 VB
this	 Other
compelling	 NN
film	 NN
.	 Other
Jan	 NN
20th	 Other
,	 Other
Gorsuch	 NN
Commons	 NN
,	 Other
Jan	 NN
21st	 Other
in	 Other
the	 Other
SU	 NN
Den	 NN
.	 Other
#UAASHCC	 NN
#UAAmazing	 VB
Last	 JJ
day	 NN
of	 Other
Lean	 NN
Six	 NN
Sigma	 NN
training	 NN
!	 Other
#uaamazing	 VB
@	 JJ
uaaphotos	 NN
(	 Other
at	 Other
UAA	 NN
-	 Other
University	 NN
Center	 NN
)	 Other
I	 PR
'm	 VB
glad	 JJ
you	 PR
said	 VB
``	 Other
hola	 NN
''	 Other
walking	 VB
into	 Other
class	 NN
because	 Other
otherwise	 NN
I	 PR
would	 Other
not	 RB
have	 VB
known	 VB
whether	 Other
Spanish	 JJ
meets	 NN
in	 Other
143A	 Other
or	 Other
143B	 Other
.	 Other
#UAAmazing	 VB
Lol	 NN
150	 Other
to	 Other
rent	 VB
one	 Other
book	 NN
.	 Other
Not	 RB
gon	 VB
na	 Other
happen	 VB
.	 Other
#UAAmazing	 VB
UAA	 NN
:	 Other
Where	 Other
textbook	 NN
reservations	 NN
turn	 VB
into	 Other
textbook	 NN
IOUs	 NN
right	 NN
before	 Other
your	 PR
innocent	 JJ
eyes	 NN
.	 Other
#UAAmazing	 NN
And	 Other
we	 PR
are	 VB
sold	 VB
out	 Other
!	 Other
Thank	 NN
you	 PR
,	 Other
Anchorage	 VB
for	 Other
caring	 VB
about	 RB
civil	 JJ
discourse	 NN
!	 Other
#arguingalaska	 JJ
#uaamazing	 VB
Took	 NN
a	 Other
semester	 NN
off	 Other
,	 Other
glad	 NN
to	 Other
see	 VB
that	 Other
the	 Other
puddle	 NN
of	 Other
piss	 NN
and	 Other
pubes	 NN
called	 VB
the	 Other
``	 Other
men	 NN
's	 Other
bathroom	 NN
''	 Other
in	 Other
the	 Other
SSB	 NN
is	 VB
still	 RB
there	 RB
.	 Other
#UAAmazing	 VB
I	 PR
mean	 VB
,	 Other
it	 PR
'd	 Other
be	 VB
nice	 JJ
if	 Other
someone	 NN
would	 Other
put	 VB
down	 Other
icemelt	 NN
for	 Other
the	 Other
first	 JJ
day	 NN
off	 Other
classes..	 NN
#uaamazing	 JJ
#ouch	 JJ
College	 NN
textbooks	 NN
priced	 VB
like	 Other
they	 PR
're	 VB
all	 Other
leaked	 JJ
copies	 NN
of	 Other
the	 Other
next	 JJ
Game	 NN
of	 Other
Thrones	 NN
book	 NN
.	 Other
#UAAmazing	 VB
When	 Other
the	 Other
UAA	 NN
bookstore	 NN
did	 VB
n't	 RB
pull	 VB
your	 PR
preordered	 VB
books	 NN
off	 Other
the	 Other
shelf	 NN
.	 Other
#UAAmazing	 VB
According	 VB
to	 Other
blackboard	 NN
,	 Other
I	 PR
have	 VB
one	 Other
class	 NN
this	 Other
semester	 NN
instead	 RB
of	 Other
5	 Other
.	 Other
#UAAmazing	 VB
@	 NN
JensenElijah	 NN
#funfact	 JJ
#uaamazing	 NN
is	 VB
the	 Other
2nd	 JJ
cheapest	 JJ
school	 NN
in	 Other
America	 NN
!	 Other
Got	 NN
Health	 NN
Insurance	 NN
?	 Other
No	 Other
?	 Other
Help	 NN
is	 VB
arriving	 VB
at	 Other
#UAA	 NN
on	 Other
January	 NN
13th	 Other
,	 Other
in	 Other
the	 Other
SU	 NN
.	 Other
10-2pm	 JJ
.	 Other
#UAASHCC	 NN
#UAAmazing	 VB
22	 Other
%	 NN
Graduation	 NN
rate	 NN
at	 Other
UAA	 NN
.	 Other
#UAAmazing	 VB
I	 PR
love	 VB
the	 Other
new	 JJ
black	 JJ
board	 NN
update	 NN
.	 Other
#uaamazing	 VB
So	 RB
happy	 JJ
I	 PR
have	 VB
another	 Other
week	 NN
off	 Other
before	 Other
school	 NN
starts	 NN
again	 RB
.	 Other
#uaamazing	 VB
Mr.	 NN
A	 NN
is	 VB
one	 Other
of	 Other
the	 Other
most	 RB
genuine	 JJ
people	 NN
I	 PR
've	 VB
had	 VB
the	 Other
privilige	 NN
of	 Other
meeting	 NN
.	 Other
Truly	 RB
inspiring	 VB
.	 Other
#UAAmazing	 VB
My	 PR
textbooks	 NN
for	 Other
this	 Other
semester	 NN
are	 VB
going	 VB
to	 Other
cost	 VB
more	 JJ
than	 Other
what	 Other
I	 PR
even	 RB
pay	 VB
out	 Other
of	 Other
pocket	 NN
for	 Other
tuition	 NN
.	 Other
#uaamazing	 JJ
#butreally	 RB
Education	 NN
alumnus	 NN
Adam	 NN
Ahonen	 NN
discusses	 VB
his	 PR
career	 NN
helming	 VB
Service	 NN
High	 NN
School\u2019s	 NN
special	 JJ
ed	 JJ
program	 NN
http	 NN
:	 Other
//ow.ly/Wcipb	 NN
.	 Other
#UAAmazing	 NN
#2	 Other
Johanna	 NN
and	 Other
JT	 NN
broke	 VB
33rd	 Other
at	 Other
the	 Other
World	 NN
Universities	 NN
Debating	 VB
Championship	 NN
in	 Other
Thessaloniki	 NN
!	 Other
!	 Other
!	 Other
They	 PR
're	 VB
going	 VB
to	 Other
elim	 VB
rounds	 NN
!	 Other
#uaamazing	 JJ
#wudc	 NN
Going	 VB
into	 Other
round	 NN
6	 Other
,	 Other
JT	 NN
and	 Other
Johanna	 NN
are	 VB
sitting	 VB
on	 Other
10	 Other
points	 NN
.	 Other
They	 PR
drew	 VB
OG	 NN
against	 Other
Monash	 NN
x2	 NN
and	 Other
LSE	 NN
.	 Other
Waiting	 VB
for	 Other
results	 NN
.	 Other
#wudc	 JJ
#uaa	 JJ
Don\u2019t	 NN
forget	 NN
!	 Other
You	 PR
can	 Other
still	 RB
donate	 VB
and	 Other
save	 VB
@	 NN
UAA_Bookstore	 NN
until	 Other
the	 Other
24th	 Other
.	 Other
#SeasonOfSavings	 NN
#Uaamazing	 NN
Holiday	 NN
Special	 NN
Hours	 NN
of	 Other
Operation	 NN
.	 Other
#UAASHCC	 NN
#UAAmazing	 NN
#uaamazing	 VB
should	 Other
b	 VB
added	 VB
to	 Other
that	 Other
last	 JJ
tweet	 NN
Bruh	 NN
...	 Other
same	 JJ
#uaamazing	 JJ
Gonfalon	 NN
for	 Other
@	 NN
uaanchorage	 JJ
College	 NN
of	 Other
Arts	 NN
&	 Other
Sciences	 NN
2015	 Other
Fall	 NN
Commencement	 NN
!	 Other
Congrats	 NN
Grads	 VB
!	 Other
#uaamazing	 JJ
Congratulations	 NN
to	 Other
the	 Other
Class	 NN
of	 Other
2015	 Other
!	 Other
!	 Other
#UAAGrad	 NN
#UAAmazing	 NN
Commencement	 NN
speaker	 NN
Ruddy	 NN
Abam	 NN
offering	 VB
her	 PR
congratulations	 NN
to	 Other
#UAAGrad	 NN
Fall	 NN
2015	 Other
.	 Other
#uaamazing	 JJ
https	 NN
:	 Other
//www.instagram.com/p/_P9ygmtYRn/	 JJ
#commencement	 JJ
graduation	 NN
#volunteer	 NN
#uaamazing	 NN
(	 Other
@	 JJ
Alaska	 NN
Airlines	 NN
Center	 NN
in	 Other
Anchorage	 NN
,	 Other
AK	 NN
)	 Other
.	 Other
https	 NN
:	 Other
//www.swarmapp.com/c/e2TmdxpgD43	 JJ
Hats	 NN
off	 Other
to	 Other
all	 Other
our	 PR
#UAAmazing	 VB
Fall	 NN
2015	 Other
gaduates	 VB
!	 Other
When	 Other
you	 PR
had	 VB
an	 Other
A	 NN
in	 Other
English	 NN
all	 Other
semester	 NN
and	 Other
the	 Other
day	 NN
after	 Other
your	 PR
last	 JJ
class	 NN
he	 PR
decides	 VB
to	 Other
enter	 VB
participation	 NN
and	 Other
fuck	 NN
you	 PR
over	 Other
.	 Other
#uaamazing	 VB
Like	 Other
seriously	 RB
come	 VB
on	 Other
!	 Other
Bump	 NN
my	 PR
overall	 JJ
89	 Other
%	 NN
to	 Other
an	 Other
A	 NN
.	 Other
#uaamazing	 VB
Off	 NN
to	 Other
represent	 VB
UAA	 NN
:	 Other
University	 NN
of	 Other
Alaska	 NN
Anchorage	 NN
students	 NN
at	 Other
the	 Other
Board	 NN
of	 Other
Regents	 NN
meeting	 NN
at	 Other
UAF	 NN
!	 Other
#uaamazing	 VB
...	 Other
http	 NN
:	 Other
//fb.me/751hfv8rn	 JJ
bye	 NN
UAA	 NN
thanks	 NN
for	 Other
the	 Other
3	 Other
semesters	 NN
lol	 RB
.	 Other
#UAAmazing	 VB
My	 NN
professor	 NN
literally	 RB
made	 VB
a	 Other
phone	 NN
call	 NN
in	 Other
the	 Other
middle	 NN
of	 Other
our	 PR
final	 JJ
,	 Other
using	 VB
a	 Other
student	 NN
's	 Other
phone	 NN
,	 Other
because	 Other
she	 PR
lost	 VB
her	 PR
own	 JJ
...	 Other
#UAAmazing	 VB
We	 PR
cant	 JJ
even	 RB
load	 VB
a	 Other
TV	 NN
SHOW	 NN
on	 Other
residence	 NN
wifi	 NN
.	 Other
#uaamazing	 VB
I	 PR
just	 RB
discovered	 VB
that	 Other
I	 PR
have	 VB
a	 Other
view	 NN
of	 Other
#Denali	 NN
from	 Other
my	 PR
office	 NN
window	 NN
.	 Other
#JustTheTip	 NN
#ItCounts	 NN
#uaamazing	 JJ
#Alaska	 NN
JT	 NN
and	 Other
Johanna	 NN
WIN	 NN
the	 Other
#seattleiv	 NN
.	 Other
#UAAmazing	 VB
@	 JJ
sklauder9	 NN
I	 PR
'm	 VB
gon	 VB
na	 Other
take	 VB
a	 Other
swing	 NN
at	 Other
the	 Other
dean	 NN
of	 Other
students	 NN
too	 RB
.	 Other
#uaamazing	 VB
When	 Other
blackboard	 NN
is	 VB
down	 RB
for	 Other
scheduled	 JJ
maintenance	 NN
the	 Other
day	 NN
before	 Other
finals	 NN
week	 NN
starts	 NN
...	 Other
.	 Other
#uaamazing	 JJ
UAAs	 NN
wifi	 NN
is	 VB
forever	 RB
shitty	 RB
.	 Other
#uaamazing	 VB
\u2018Twas	 Other
the	 Other
week	 NN
before	 Other
finals\u2026	 JJ
#uaamazing	 JJ
(	 Other
at	 Other
UAA	 NN
:	 Other
University	 NN
of	 Other
Alaska	 NN
Anchorage	 NN
)	 Other
Rocky	 NN
research	 NN
:	 Other
#UAA	 NN
geology	 NN
student	 NN
Ian	 NN
Minnock	 NN
takes	 VB
extracurricular	 JJ
to	 Other
a	 Other
whole	 JJ
new	 JJ
level	 NN
.	 Other
http	 NN
:	 Other
//ow.ly/V5iy0	 JJ
#UAAmazing	 VB
#IAMUAA	 NN
Photobombed	 NN
by	 Other
Jim	 NN
!	 Other
Having	 VB
a	 Other
blast	 NN
at	 Other
the	 Other
@	 NN
GCIAK	 NN
Great	 NN
#Alaska	 NN
Shootout	 NN
!	 Other
#seawolfselfie	 JJ
#uaamazing	 VB
he	 PR
Seawolves	 VB
are	 VB
up	 RB
by	 Other
1	 Other
at	 Other
the	 Other
half	 NN
of	 Other
the	 Other
GCI	 NN
Great	 NN
Alaska	 NN
Shootout	 NN
!	 Other
It	 PR
's	 VB
32-31	 JJ
.	 Other
#GreatAKShootout	 NN
#WKU	 NN
#uaamazing	 JJ
#seawolfnation	 NN
#seawolfselfie	 JJ
#Uaamazing	 VB
``	 Other
Where	 Other
``	 Other
drink	 VB
until	 Other
she	 PR
's	 VB
pretty	 JJ
''	 Other
is	 VB
the	 Other
school	 NN
motto	 NN
.	 Other
''	 Other
-	 Other
University	 NN
of	 Other
Alaska	 NN
Anchorage	 NN
final	 JJ
marketing	 NN
presentation	 NN
!	 Other
